Rank,Country (or dependent territory),GDP2015,Date,"% of worldpopulation",Source
1,United States,1.80366E+13,10/24/14,4.43%,Official population clock
2,China,1.10077E+13,10/24/14,19%,Official population clock
3,Japan,4.12326E+12,10/1/14,1.77%,Monthly official estimate
4,Germany,3.36345E+12,12/31/13,1.12%,Official estimate
5,United Kingdom,2.858E+12,7/1/13,0.89%,Annual official estimate
6,France,2.41884E+12,10/1/14,0.92%,Monthly official estimate
7,India,2.0954E+12,10/24/14,17.50%,Population clock
8,Italy,1.8215E+12,4/30/14,0.84%,Monthly official estimate
9,Brazil,1.77472E+12,10/24/14,2.83%,Official population clock
10,Canada,1.55054E+12,7/1/14,0.49%,Official estimate
11,Australia,1.33914E+12,10/24/14,0.33%,Official population clock
12,Russian Federation,1.33121E+12,8/1/14,2.03%,Official estimate
13,Spain,1.19906E+12,1/1/14,0.63%,Annual official estimate
14,Mexico,1.14379E+12,7/1/14,1.66%,Official projection
15,Indonesia,8.61934E+11,7/1/14,3.50%,Official estimate
16,Netherlands,7.50284E+11,10/24/14,0.23%,Official population clock
17,Turkey,7.1788E+11,12/31/13,1.07%,Annual official estimate
18,Switzerland,6.7079E+11,6/30/14,0.11%,Quarterly provisional figure
19,Saudi Arabia,6.46002E+11,7/1/14,0.43%,Official annual projection
20,Argentina,5.83169E+11,7/1/14,0.59%,Official annual projection
21,Sweden,4.95624E+11,8/31/14,0.14%,Monthly official estimate
22,Nigeria,4.81066E+11,7/1/14,2.48%,UN projection[6]
23,Poland,4.77066E+11,12/31/13,0.53%,Official estimate
24,Belgium,4.55086E+11,9/1/14,0.16%,Monthly official estimate
25,Thailand,3.95168E+11,7/1/14,0.90%,Official estimate
26,Norway,3.86578E+11,7/1/14,0.07%,Quarterly official estimate
27,Austria,3.7695E+11,4/1/14,0.12%,Official quarterly estimate
28,United Arab Emirates,3.70296E+11,7/1/14,0.13%,UN projection
29,South Africa,3.14572E+11,7/1/14,0.75%,Official estimate
30,Israel,2.99416E+11,8/31/14,0.11%,Official Monthly Estimate
31,Malaysia,2.96283E+11,10/24/14,0.42%,Official population clock
32,Denmark,2.95091E+11,7/1/14,0.08%,Quarterly official estimate
33,Singapore,2.92739E+11,7/1/14,0.08%,Official estimate
34,Philippines,2.92451E+11,10/24/14,1.40%,Official population clock
35,Colombia,2.9208E+11,10/24/14,0.67%,Official population clock
36,Ireland,2.83703E+11,4/1/14,0.06%,Annual official estimate
37,Pakistan,2.7105E+11,7/1/14,2.61%,Official annual projection
38,Chile,2.40796E+11,7/1/14,0.25%,Official annual projection
39,Finland,2.3195E+11,9/30/14,0.08%,Monthly official estimate
40,Portugal,1.98923E+11,12/31/13,0.15%,Annual official estimate
41,Bangladesh,1.95079E+11,10/24/14,2.18%,Official population clock
42,Greece,1.94851E+11,1/1/14,0.15%,Official estimate
43,Peru,1.89111E+11,7/1/14,0.43%,Official annual projection
44,Czech Republic,1.85156E+11,6/30/14,0.15%,Official quarterly estimate
45,Kazakhstan,1.84388E+11,9/1/14,0.24%,Monthly official estimate
46,Iraq,1.80069E+11,7/1/14,0.50%,Official annual projection
47,Romania,1.77954E+11,1/1/14,0.28%,Annual official estimate
48,New Zealand,1.73754E+11,10/24/14,0.06%,Official population clock
49,Algeria,1.66839E+11,1/1/14,0.54%,Official estimate
50,Qatar,1.64641E+11,9/30/14,0.03%,Monthly official estimate
51,Hungary,1.21715E+11,1/1/14,0.14%,Annual official estimate
52,Kuwait,1.14041E+11,7/1/11,0.04%,Official estimate
53,Angola,1.02627E+11,5/16/14,0.34%,Preliminary 2014 census result
54,Morocco,1.00593E+11,10/24/14,0.46%,Official population clock
55,Ecuador,1.00177E+11,10/24/14,0.22%,Official population clock
56,Sudan,97156119150,7/1/14,0.52%,Official annual projection
57,Ukraine,90615023324,8/1/14,0.60%,Monthly official estimate
58,Sri Lanka,82316172384,3/21/12,0.28%,Preliminary 2012 census result
59,Oman,69830949285,10/22/14,0.06%,Weekly official estimate
60,Dominican Republic,68102618092,2014,0.14%,Official estimate
61,Uzbekistan,66732736498,1/1/14,0.42%,Official estimate
62,Guatemala,63794152886,6/30/14,0.22%,Official estimate
63,Kenya,63398041540,7/1/13,0.58%,Annual official estimate
64,Myanmar,62600906116,3/29/14,0.71%,Preliminary 2014 census result
65,Ethiopia,61539711687,7/1/14,1.22%,Official projection
66,Luxembourg,57793612066,12/31/13,0.01%,Annual official estimate
67,Belarus,54608962635,7/1/14,0.13%,Quarterly official estimate
68,Costa Rica,54136834091,7/1/13,0.07%,Official estimate
69,Uruguay,53442697569,6/30/14,0.05%,Annual official estimate
70,Azerbaijan,53047140347,8/1/14,0.13%,Official estimate
71,Panama,52132289747,2014,0.05%,Official estimate
72,Bulgaria,50199117547,12/31/13,0.10%,Official estimate
73,Croatia,48732003674,7/1/12,0.06%,Annual official estimate
74,Lebanon,47084703151,7/1/12,0.06%,Official estimate
75,Tanzania,45628247290,7/1/14,0.66%,Official Projection
76,Tunisia,43015089723,4/23/14,0.15%,Preliminary 2014 census result
77,Slovenia,42774769768,10/24/14,0.03%,Official population clock
78,Lithuania,41170728956,10/1/14,0.04%,Monthly official estimate
79,Ghana,37543361204,7/1/14,0.38%,Official annual projection
80,Jordan,37517410282,10/24/14,0.09%,Official population clock
81,Serbia,37160332465,1/1/14,0.10%,Annual official estimate
82,Turkmenistan,35854571429,10/24/14,0.08%,Official population clock
83,Bahrain,31125851064,7/1/14,0.02%,Official annual projection
84,Cameroon,28415950981,7/1/12,0.28%,Official estimate
85,Uganda,27529249701,7/1/14,0.51%,Annual official estimate
86,Paraguay,27093938619,2014,0.10%,Official estimate
87,Latvia,27002832428,10/1/14,0.03%,Monthly official estimate
88,El Salvador,25850200000,2014,0.09%,Official estimate
89,Trinidad and Tobago,23559287484,1/9/11,0.02%,2011 census result
90,Estonia,22459443274,1/1/14,0.02%,Official estimate
91,Nepal,21194888048,6/22/11,0.37%,Final 2011 census result
92,Zambia,21154394546,7/1/14,0.21%,Official estimate
93,Honduras,20420967149,7/1/14,0.12%,Annual official estimate
94,Cyprus,19559942331,1/1/14,0.01%,Official estimate
95,Afghanistan,19331286549,7/1/13,0.36%,Official estimate
96,Cambodia,18049954289,7/1/14,0.21%,Official annual projection
97,Iceland,16598494831,10/1/14,0.00%,Official quaterly estimate
